time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-12-10T06:25:44Z,-37.814246,145.160780,,19.391,,,0,network,,,,,,
2016-12-10T06:25:51Z,-37.814333,145.160668,104.3,12.9,0.0,0.0,0,gps,1.68,1.00,2.81,-3.8,,
2016-12-10T06:25:53Z,-37.814233,145.160852,106.8,8.4,0.0,0.0,5,gps,1.68,0.97,1.94,-3.8,,
2016-12-10T06:25:55Z,-37.814215,145.160905,106.8,6.8,0.0,0.19044723,7,gps,1.22,0.85,1.49,-3.8,,
2016-12-10T06:25:55Z,-37.814093,145.160651,,21.852,,,0,network,,,,,,
2016-12-10T06:25:58Z,-37.814203,145.160928,105.0,5.9,186.36,1.3758525,7,gps,1.22,0.85,1.49,-3.8,,
2016-12-10T06:26:00Z,-37.814225,145.160932,102.7,5.5,194.49,1.1756256,7,gps,1.22,0.85,1.49,-3.8,,
2016-12-10T06:26:01Z,-37.814217,145.160913,104.6,10.1,195.9,0.0,7,gps,1.10,0.85,1.49,-3.8,,
2016-12-10T06:26:03Z,-37.814183,145.160908,110.8,7.4,308.53,0.23008083,8,gps,1.10,0.84,1.38,-3.8,,
2016-12-10T06:26:05Z,-37.814170,145.160873,113.7,6.8,308.53,0.0,8,gps,1.10,0.84,1.38,-3.8,,
2016-12-10T06:26:07Z,-37.814170,145.160825,115.1,6.5,308.53,0.0,8,gps,1.10,0.84,1.38,-3.8,,
2016-12-10T06:26:09Z,-37.814165,145.160820,114.5,6.0,308.53,0.0,8,gps,1.10,0.84,1.38,-3.8,,
2016-12-10T06:26:11Z,-37.814173,145.160747,114.8,5.9,308.53,0.0,8,gps,1.10,0.84,1.38,-3.8,,
2016-12-10T06:26:13Z,-37.814177,145.160712,115.8,5.7,308.53,0.0,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:14Z,-37.814182,145.160720,116.1,5.5,308.53,0.0,9,gps,,,,-3.8,,
2016-12-10T06:26:16Z,-37.814180,145.160727,116.7,5.4,258.13,0.0,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:18Z,-37.814178,145.160730,117.6,5.3,258.13,0.0,9,gps,,,,-3.8,,
2016-12-10T06:26:20Z,-37.814163,145.160743,118.6,5.2,258.13,0.0,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:22Z,-37.814157,145.160740,118.9,5.1,258.13,0.0,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:24Z,-37.814172,145.160725,120.9,5.1,258.13,0.0,8,gps,0.97,0.83,1.28,-3.8,,
2016-12-10T06:26:26Z,-37.814097,145.160755,125.9,4.7,351.42,1.0860639,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:28Z,-37.814055,145.160772,128.1,4.3,15.57,2.0666096,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:29Z,-37.814037,145.160773,128.6,4.1,21.29,2.3538246,9,gps,0.87,0.77,1.16,-3.8,,
2016-12-10T06:26:31Z,-37.813990,145.160790,128.5,3.9,14.77,2.9159014,9,gps,0.88,1.21,1.50,-3.8,,
2016-12-10T06:26:33Z,-37.813943,145.160807,127.8,3.8,12.51,2.9364903,9,gps,0.88,1.22,1.50,-3.8,,
2016-12-10T06:26:35Z,-37.813887,145.160837,127.6,3.6,19.72,3.639086,9,gps,0.88,,,-3.8,,
2016-12-10T06:26:37Z,-37.813865,145.160823,126.2,3.6,307.14,0.64288807,9,gps,0.88,1.22,1.50,-3.8,,
